,Season,Squad,Age,Tkl,TklWon,Blocks,Int,Clr,SCA,PasAss,GCA,GcaDrib,Recov,AerWon,Assists,PPA,CrsPA,TklDri,Goals,SoT,G/Sh,PasProg,Goals Conceded
382,2021/2022,Granada,701,606.0,340.0,434.0,322.0,819.0,694.0,483.0,67.0,3.0,1802.0,594.0,28.0,203.0,81.0,225.0,43.0,131.0,1.76,1042.0,61
383,2021/2022,Hellas Verona,621,533.0,308.0,413.0,388.0,755.0,792.0,604.0,106.0,5.0,2370.0,674.0,44.0,348.0,70.0,275.0,63.0,152.0,2.26,1584.0,59
384,2021/2022,Hoffenheim,643,483.0,291.0,388.0,284.0,499.0,781.0,581.0,100.0,5.0,1815.0,476.0,42.0,343.0,112.0,274.0,55.0,150.0,2.54,1469.0,60
385,2021/2022,Inter,625,585.0,332.0,358.0,332.0,479.0,1176.0,877.0,149.0,4.0,1965.0,544.0,57.0,450.0,128.0,216.0,83.0,239.0,2.13,1774.0,32
386,2021/2022,Juventus,662,554.0,315.0,392.0,330.0,666.0,906.0,667.0,99.0,9.0,1965.0,540.0,37.0,304.0,78.0,269.0,56.0,166.0,1.75,1458.0,37
387,2021/2022,Lazio,612,577.0,339.0,414.0,314.0,557.0,793.0,606.0,126.0,12.0,1906.0,400.0,47.0,308.0,53.0,274.0,74.0,185.0,2.27,1526.0,58
388,2021/2022,Leeds United,561,777.0,430.0,469.0,390.0,583.0,817.0,582.0,66.0,10.0,2219.0,452.0,26.0,270.0,52.0,314.0,42.0,142.0,1.23,1474.0,79
389,2021/2022,Leicester City,580,682.0,379.0,460.0,365.0,754.0,736.0,557.0,102.0,4.0,1955.0,520.0,45.0,252.0,57.0,250.0,62.0,164.0,2.3400000000000003,1335.0,59
390,2021/2022,Lens,523,586.0,357.0,357.0,454.0,596.0,895.0,678.0,105.0,6.0,1991.0,418.0,39.0,280.0,69.0,247.0,60.0,183.0,1.94,1688.0,48
391,2021/2022,Levante,686,544.0,296.0,321.0,361.0,686.0,699.0,470.0,78.0,5.0,1939.0,430.0,33.0,246.0,60.0,335.0,51.0,146.0,2.88,1304.0,76
392,2021/2022,Leverkusen,499,472.0,273.0,348.0,356.0,608.0,797.0,591.0,134.0,14.0,1929.0,430.0,58.0,293.0,58.0,304.0,76.0,184.0,2.57,1334.0,47
393,2021/2022,Lille,516,650.0,357.0,349.0,374.0,646.0,805.0,587.0,81.0,7.0,2100.0,513.0,29.0,265.0,60.0,305.0,45.0,150.0,2.0100000000000002,1480.0,48
394,2021/2022,Liverpool,596,550.0,318.0,358.0,337.0,494.0,1244.0,908.0,160.0,8.0,2176.0,553.0,69.0,510.0,92.0,291.0,94.0,237.0,2.4,2238.0,26
395,2021/2022,Lorient,576,690.0,410.0,400.0,408.0,752.0,756.0,529.0,60.0,8.0,2010.0,422.0,20.0,215.0,76.0,290.0,35.0,146.0,1.4500000000000002,1252.0,63
396,2021/2022,Lyon,664,629.0,366.0,385.0,391.0,607.0,980.0,741.0,111.0,5.0,2081.0,466.0,45.0,345.0,65.0,325.0,64.0,192.0,2.01,1755.0,51
397,2021/2022,M'Gladbach,548,526.0,318.0,384.0,308.0,493.0,844.0,622.0,87.0,4.0,1682.0,429.0,37.0,243.0,44.0,245.0,54.0,174.0,1.3,1243.0,61
398,2021/2022,Mainz 05,554,574.0,301.0,399.0,431.0,549.0,755.0,522.0,81.0,3.0,2009.0,587.0,36.0,254.0,72.0,236.0,49.0,151.0,2.24,1168.0,45
399,2021/2022,Mallorca,684,598.0,328.0,369.0,337.0,791.0,747.0,485.0,59.0,4.0,1939.0,635.0,23.0,233.0,64.0,242.0,33.0,131.0,2.5300000000000002,1108.0,63
400,2021/2022,Manchester City,517,493.0,280.0,267.0,279.0,389.0,1278.0,990.0,157.0,6.0,1916.0,472.0,63.0,533.0,73.0,315.0,96.0,237.0,2.34,2408.0,26
401,2021/2022,Manchester Utd,623,575.0,349.0,396.0,334.0,674.0,912.0,702.0,104.0,6.0,2021.0,539.0,46.0,312.0,65.0,262.0,56.0,179.0,2.3,1561.0,57
402,2021/2022,Marseille,492,543.0,308.0,257.0,325.0,411.0,884.0,647.0,107.0,5.0,1763.0,353.0,38.0,329.0,58.0,261.0,61.0,157.0,1.58,1842.0,38
403,2021/2022,Metz,748,707.0,439.0,444.0,501.0,752.0,629.0,445.0,55.0,3.0,2040.0,507.0,24.0,124.0,48.0,272.0,33.0,112.0,2.21,1006.0,69
404,2021/2022,Monaco,528,744.0,435.0,378.0,423.0,476.0,774.0,569.0,107.0,4.0,2225.0,542.0,45.0,390.0,81.0,285.0,62.0,153.0,1.83,1857.0,40
405,2021/2022,Montpellier,546,620.0,377.0,362.0,356.0,655.0,731.0,511.0,82.0,6.0,1947.0,423.0,31.0,236.0,70.0,271.0,48.0,151.0,1.74,1278.0,61
406,2021/2022,Nantes,534,662.0,386.0,402.0,397.0,622.0,710.0,488.0,88.0,7.0,1935.0,559.0,37.0,201.0,76.0,340.0,53.0,145.0,1.7,1286.0,48
407,2021/2022,Napoli,546,537.0,317.0,366.0,285.0,470.0,1007.0,766.0,125.0,3.0,1892.0,373.0,46.0,361.0,56.0,233.0,74.0,186.0,2.9899999999999998,1633.0,31
408,2021/2022,Newcastle Utd,654,643.0,373.0,412.0,354.0,750.0,752.0,500.0,68.0,5.0,1791.0,665.0,23.0,193.0,55.0,270.0,41.0,142.0,3.58,911.0,62
409,2021/2022,Nice,538,594.0,359.0,387.0,424.0,566.0,780.0,568.0,92.0,5.0,1989.0,500.0,35.0,258.0,102.0,306.0,52.0,144.0,1.7000000000000002,1442.0,36
410,2021/2022,Osasuna,653,570.0,325.0,339.0,367.0,736.0,713.0,498.0,62.0,0.0,2059.0,798.0,23.0,298.0,124.0,206.0,37.0,114.0,1.4500000000000002,1324.0,51
411,2021/2022,Paris S-G,649,603.0,358.0,322.0,300.0,416.0,1011.0,761.0,158.0,18.0,1750.0,255.0,63.0,399.0,49.0,377.0,88.0,202.0,3.94,2041.0,36
