,League,Season,Squad,Goals Scored,xG,xA,Goals Conceded,Points,League Group
216,LaLiga,2018/2019,RCD Espanyol Barcelona,48,50.14,34.06,50,53.0,Top Half
217,LaLiga,2018/2019,Getafe CF,48,47.04,33.45,35,59.0,Top Half
218,LaLiga,2018/2019,Girona FC,37,42.97,28.55,53,37.0,Bottom Half
219,LaLiga,2018/2019,CD Leganés,37,41.24,28.05,43,45.0,Bottom Half
220,LaLiga,2018/2019,Levante UD,59,54.089999999999996,39.17,66,44.0,Bottom Half
221,LaLiga,2018/2019,Rayo Vallecano,41,47.27,30.67,70,32.0,Bottom Half
222,LaLiga,2018/2019,Real Betis Balompié,44,51.66,36.43,52,50.0,Top Half
223,LaLiga,2018/2019,Real Madrid,63,68.65,50.35,46,68.0,Top Half
224,LaLiga,2018/2019,Real Sociedad,45,47.97,31.009999999999998,46,50.0,Bottom Half
225,LaLiga,2018/2019,Real Valladolid CF,32,41.64,27.65,51,41.0,Bottom Half
227,LaLiga,2018/2019,Sevilla FC,62,69.17,51.36,47,59.0,Top Half
228,LaLiga,2018/2019,Valencia CF,51,61.89,47.79,35,61.0,Top Half
229,LaLiga,2018/2019,Villarreal CF,49,54.79,39.32,52,44.0,Bottom Half
230,LaLiga,2019/2020,Deportivo Alavés,34,38.12,25.22,59,39.0,Bottom Half
231,LaLiga,2019/2020,Athletic Bilbao,41,42.09,26.26,38,51.0,Bottom Half
232,LaLiga,2019/2020,Atlético de Madrid,51,58.69,41.89,27,70.0,Top Half
233,LaLiga,2019/2020,FC Barcelona,86,71.99,53.99,38,82.0,Top Half
234,LaLiga,2019/2020,Celta de Vigo,37,40.46,27.41,49,37.0,Bottom Half
235,LaLiga,2019/2020,SD Eibar,39,42.339999999999996,27.13,56,42.0,Bottom Half
236,LaLiga,2019/2020,RCD Espanyol Barcelona,27,37.02,25.89,58,25.0,Bottom Half
237,LaLiga,2019/2020,Getafe CF,43,45.2,31.41,37,54.0,Top Half
238,LaLiga,2019/2020,Granada CF,52,45.04,32.18,45,56.0,Top Half
239,LaLiga,2019/2020,CD Leganés,30,38.94,26.3,51,36.0,Bottom Half
240,LaLiga,2019/2020,Levante UD,47,49.45,36.48,53,49.0,Bottom Half
241,LaLiga,2019/2020,RCD Mallorca,40,40.47,24.47,65,33.0,Bottom Half
242,LaLiga,2019/2020,CA Osasuna,46,49.08,33.11,54,52.0,Top Half
243,LaLiga,2019/2020,Real Betis Balompié,48,48.9,34.57,60,41.0,Bottom Half
244,LaLiga,2019/2020,Real Madrid,70,72.16,52.87,25,87.0,Top Half
245,LaLiga,2019/2020,Real Sociedad,56,50.93,37.64,48,56.0,Top Half
246,LaLiga,2019/2020,Real Valladolid CF,32,35.66,22.81,43,42.0,Bottom Half
247,LaLiga,2019/2020,Sevilla FC,54,55.15,38.45,34,70.0,Top Half
248,LaLiga,2019/2020,Valencia CF,46,45.61,33.59,53,53.0,Top Half
249,LaLiga,2019/2020,Villarreal CF,63,65.61,44.81,49,60.0,Top Half
250,LaLiga,2020/2021,Deportivo Alavés,36,39.12,24.41,57,38.0,Bottom Half
251,LaLiga,2020/2021,Athletic Bilbao,46,43.089999999999996,31.68,42,46.0,Top Half
252,LaLiga,2020/2021,Atlético de Madrid,67,57.68,44.8,25,86.0,Top Half
253,LaLiga,2020/2021,FC Barcelona,85,83.94,59.6,38,79.0,Top Half
255,LaLiga,2020/2021,Celta de Vigo,55,51.33,38.55,57,53.0,Top Half
256,LaLiga,2020/2021,SD Eibar,29,42.44,27.55,52,30.0,Bottom Half
257,LaLiga,2020/2021,Elche CF,34,30.43,22.44,55,36.0,Bottom Half
258,LaLiga,2020/2021,Getafe CF,28,35.61,24.580000000000002,43,38.0,Bottom Half
259,LaLiga,2020/2021,Granada CF,47,41.03,26.66,65,46.0,Top Half
260,LaLiga,2020/2021,Levante UD,46,40.93,29.48,57,41.0,Bottom Half
261,LaLiga,2020/2021,CA Osasuna,37,39.62,25.669999999999998,48,44.0,Bottom Half
262,LaLiga,2020/2021,Real Betis Balompié,50,49.769999999999996,33.68,50,61.0,Top Half
263,LaLiga,2020/2021,Real Madrid,67,65.09,49.66,28,84.0,Top Half
264,LaLiga,2020/2021,Real Sociedad,59,63.14,41.28,38,62.0,Top Half
265,LaLiga,2020/2021,Real Valladolid CF,34,37.91,21.81,57,31.0,Bottom Half
267,LaLiga,2020/2021,Sevilla FC,53,55.86,42.64,33,77.0,Top Half
268,LaLiga,2020/2021,Valencia CF,50,41.9,26.63,53,43.0,Bottom Half
269,LaLiga,2020/2021,Villarreal CF,60,57.84,41.8,44,58.0,Top Half
270,LaLiga,2021/2022,Deportivo Alavés,31,38.449999999999996,26.6,65,31.0,Bottom Half
271,LaLiga,2021/2022,Athletic Bilbao,43,57.0,44.9,36,55.0,Top Half
272,LaLiga,2021/2022,Atlético de Madrid,65,59.43,42.45,43,71.0,Top Half
273,LaLiga,2021/2022,FC Barcelona,68,70.53,52.55,38,73.0,Top Half
275,LaLiga,2021/2022,Celta de Vigo,43,44.9,30.17,43,46.0,Bottom Half
276,LaLiga,2021/2022,Elche CF,40,36.83,29.34,52,42.0,Bottom Half
277,LaLiga,2021/2022,RCD Espanyol Barcelona,40,38.88,27.64,53,42.0,Bottom Half
278,LaLiga,2021/2022,Getafe CF,33,31.54,20.68,41,39.0,Bottom Half
279,LaLiga,2021/2022,Granada CF,44,41.29,27.97,61,38.0,Bottom Half
280,LaLiga,2021/2022,Levante UD,51,57.56,33.85,76,35.0,Bottom Half
